user_id,name,level,points,review_count,photo_count,created_at
1,Zion Johnson,1,4649,61,63,2025-07-11 04:46:36
2,Logan Garcia,3,3532,23,22,2025-07-11 04:46:36
3,Parker Clark,3,4982,75,282,2025-07-11 04:46:36
4,Quinn Lee,3,4255,86,268,2025-07-11 04:46:36
5,Quinn Johnson,4,4189,4,232,2025-07-11 04:46:36
6,Reese Lee,3,360,74,292,2025-07-11 04:46:36
7,Sydney Rodriguez,5,4474,63,149,2025-07-11 04:46:36
8,Sawyer Martinez,2,94,29,111,2025-07-11 04:46:36
9,Taylor Lee,3,2659,96,145,2025-07-11 04:46:36
10,Sawyer Garcia,2,3777,92,31,2025-07-11 04:46:36
11,Finley Smith,1,3607,40,167,2025-07-11 04:46:36
12,Jordan Rodriguez,5,2621,100,70,2025-07-11 04:46:36
13,Reese Smith,2,1495,100,182,2025-07-11 04:46:36
14,Avery Clark,1,2633,37,132,2025-07-11 04:46:36
15,Sawyer Davis,3,455,57,46,2025-07-11 04:46:36
16,Harper Clark,3,4537,58,90,2025-07-11 04:46:36
17,Zion Brown,3,1342,15,208,2025-07-11 04:46:36
18,Riley Anderson,3,2980,69,291,2025-07-11 04:46:36
19,Parker Lee,5,2063,84,11,2025-07-11 04:46:36
20,Logan Rodriguez,3,3713,86,213,2025-07-11 04:46:36
21,Avery Brown,1,338,65,11,2025-07-11 04:46:36
22,Morgan Anderson,2,1933,98,181,2025-07-11 04:46:36
23,Sawyer Davis,5,2887,11,52,2025-07-11 04:46:36
24,Sawyer Davis,4,4100,94,210,2025-07-11 04:46:36
25,Sydney Brown,2,4479,17,156,2025-07-11 04:46:36
